scenario,ufp_mean,pm25_mean,ufp_ratio_mean,pm25_ratio_mean
Baseline,35561.133938705585,5.824061738295246,1.0,1.0
25% to Microcar,36320.996632791415,5.116038679673809,0.9584895296952198,0.8996155225184563
50% to Microcar,21432.664724904756,4.280508886382032,0.7445275286718367,0.7542938944085124
75% to Microcar,17916.17177224646,4.934389397865092,0.7044158818382509,0.830384997162197
