scenario,ufp_mean,pm25_mean,ufp_ratio_mean,pm25_ratio_mean
Baseline,35561.133938705585,5.824061738295246,1.0,1.0
25% to Bus,29791.889637261414,4.888363855447579,0.819791747876622,0.7835610693970654
50% to Bus,27719.03034889839,4.634149788357525,0.6998752389622811,0.6606634748394412
75% to Bus,46349.92279522128,4.566330699222472,0.7750527889003259,0.5942219846753217
