scenario,ufp_mean,pm25_mean,ufp_ratio_mean,pm25_ratio_mean
Baseline,35561.133938705585,5.824061738295246,1.0,1.0
25% Electric (with regen),30371.965849719963,5.893172753106369,0.8904457424366127,1.0101906816710426
25% Electric (no regen),40439.69146732163,5.893172753106369,1.1035254609636316,1.0101906816710426
50% Electric (with regen),27390.55110734878,5.985113087711737,0.8101600159683862,1.025570119396544
50% Electric (no regen),41256.02658365928,5.985113087711737,1.1271282638333828,1.025570119396544
75% Electric (with regen),21421.44451064999,6.166853813987056,0.6888944132789808,1.053680441947336
75% Electric (no regen),43272.45264104616,6.166853813987056,1.1743330695823857,1.053680441947336
